"CARGO";"DATA";"OCUPADOS_ATIVO";"VAGOS_ATIVO";"TOTAL_ATIVO";"APOSENTADOS";"INSTITUIDORES_PENSAO";"TOTAL_INATIVO";"BENEFICIARIOS_PENSAO"
"SENADOR DA REPÚBLICA";"2021-12-01";"85";"0";"85";"67";"72";"139";"83"
"SENADOR DA REPÚBLICA";"2021-08-01";"83";"0";"83";"69";"72";"141";"84"
"SENADOR DA REPÚBLICA";"2021-04-01";"81";"0";"81";"73";"66";"139";"80"
"SENADOR DA REPÚBLICA";"2020-12-01";"83";"0";"83";"73";"70";"143";"84"
"SENADOR DA REPÚBLICA";"2020-08-01";"81";"0";"81";"73";"71";"144";"85"
"SENADOR DA REPÚBLICA";"2020-04-01";"83";"0";"83";"73";"72";"145";"86"
"SENADOR DA REPÚBLICA";"2019-12-01";"82";"0";"82";"73";"73";"146";"87"
"SENADOR DA REPÚBLICA";"2019-08-01";"82";"0";"82";"73";"72";"145";"87"
"SENADOR DA REPÚBLICA";"2019-04-01";"81";"0";"81";"71";"72";"143";"87"
"SENADOR DA REPÚBLICA";"2018-12-01";"85";"0";"85";"67";"70";"137";"84"
"SENADOR DA REPÚBLICA";"2018-08-01";"90";"0";"90";"67";"71";"138";"85"
"SENADOR DA REPÚBLICA";"2018-04-01";"85";"0";"85";"68";"71";"139";"85"
"SENADOR DA REPÚBLICA";"2017-12-01";"86";"0";"86";"70";"70";"140";"84"
